order_date,revenue
2015-01-01,2713.8500000000004
2015-01-02,2731.8999999999996
2015-01-03,2662.3999999999996
2015-01-04,1755.4500000000003
2015-01-05,2065.95
2015-01-06,2428.95
2015-01-07,2202.2000000000003
2015-01-08,2838.3499999999995
2015-01-09,2127.3500000000004
2015-01-10,2463.95
2015-01-11,1872.3000000000002
2015-01-12,1919.0500000000002
2015-01-13,2049.6000000000004
2015-01-14,2527.3999999999996
2015-01-15,1984.8000000000002
2015-01-16,2594.15
2015-01-17,2064.1000000000004
2015-01-18,1976.8500000000001
2015-01-19,2387.1499999999996
2015-01-20,2397.9000000000005
2015-01-21,2040.5500000000002
2015-01-22,2496.7000000000003
2015-01-23,2423.7
2015-01-24,2289.25
2015-01-25,1617.5500000000002
2015-01-26,1884.4
2015-01-27,2528.0499999999997
2015-01-28,2016
2015-01-29,2045.3000000000002
2015-01-30,2270.3
2015-01-31,2417.85
2015-02-01,3189.1999999999994
2015-02-02,2328.6000000000004
2015-02-03,2614.8
2015-02-04,2233.9
2015-02-05,2215.7999999999997
2015-02-06,2509.9500000000003
2015-02-07,2237.6499999999996
2015-02-08,2035
2015-02-09,2195.35
2015-02-10,2056.5000000000005
2015-02-11,2459.999999999999
2015-02-12,2158.8
2015-02-13,2754.5
2015-02-14,2319.1500000000005
2015-02-15,2141.25
2015-02-16,1968.8000000000002
2015-02-17,2121.9
2015-02-18,2642.85
2015-02-19,2030.2500000000002
2015-02-20,2891.1499999999996
2015-02-21,2111
2015-02-22,1579.95
2015-02-23,2168.55
2015-02-24,2194.55
2015-02-25,2341.3
2015-02-26,2261.3
2015-02-27,2857.95
2015-02-28,2539.6
2015-03-01,1598.5500000000002
2015-03-02,2379.05
2015-03-03,2287.9
2015-03-04,2444.2999999999997
2015-03-05,2350.65
2015-03-06,2513.9500000000003
2015-03-07,2400.4500000000003
2015-03-08,2188.1500000000005
2015-03-09,2334.55
2015-03-10,2388.7
2015-03-11,2207.7
2015-03-12,1994.9000000000005
2015-03-13,2786.65
2015-03-14,2039.4500000000003
2015-03-15,2068.6000000000004
2015-03-16,2295.05
2015-03-17,2965.2999999999997
2015-03-18,2075.4
2015-03-19,2388.5999999999995
2015-03-20,2461.25
2015-03-21,2267.4
2015-03-22,1259.25
2015-03-23,2232.55
2015-03-24,2162.3
2015-03-25,1927.7500000000002
2015-03-26,2215.5
2015-03-27,2744.8
2015-03-28,2252.1000000000004
2015-03-29,2154.25
2015-03-30,2255.45
2015-03-31,2756.6000000000004
2015-04-01,2176.8500000000004
2015-04-02,2547.1500000000005
2015-04-03,2538.2
2015-04-04,2767.55
2015-04-05,1909.8500000000001
2015-04-06,2622.35
2015-04-07,2234.25
2015-04-08,2293.95
2015-04-09,2047.3000000000002
2015-04-10,2424.9500000000003
2015-04-11,2543.75
2015-04-12,1994.3000000000002
2015-04-13,2496.2
2015-04-14,2505.7
2015-04-15,2578.85
2015-04-16,2017.95
2015-04-17,2675.6499999999996
2015-04-18,2286.2000000000003
2015-04-19,1527.95
2015-04-20,2459.4500000000003
2015-04-21,2213.15
2015-04-22,2193.4500000000003
2015-04-23,2426.15
2015-04-24,2979.2000000000003
2015-04-25,2089.2
2015-04-26,1767.4
2015-04-27,2180.8
2015-04-28,1742.8000000000002
2015-04-29,1828.75
2015-04-30,2667.5
2015-05-01,2571.9500000000003
2015-05-02,2400.2
2015-05-03,1832.25
2015-05-04,2288.9
2015-05-05,1713.6000000000001
2015-05-06,2309.8
2015-05-07,2228.85
2015-05-08,3052.2999999999993
2015-05-09,2368.3999999999996
2015-05-10,2288.35
2015-05-11,2388.05
2015-05-12,2299.7
2015-05-13,2261.8
2015-05-14,2694.5
2015-05-15,3386.15
2015-05-16,2281.1
2015-05-17,1828.4
2015-05-18,2209.6499999999996
2015-05-19,1987
2015-05-20,2373
2015-05-21,2062.55
2015-05-22,2635.1
2015-05-23,2444.15
2015-05-24,2196.9500000000003
2015-05-25,2104.4
2015-05-26,1876.45
2015-05-27,2097
2015-05-28,2016.4
2015-05-29,3001.2
2015-05-30,2486.95
2015-05-31,1717.65
2015-06-01,3067.75
2015-06-02,2449.95
2015-06-03,1907.0500000000002
2015-06-04,2283.6000000000004
2015-06-05,2700.15
2015-06-06,2280.9500000000003
2015-06-07,1960.7500000000002
2015-06-08,2264.9500000000003
2015-06-09,2442.55
2015-06-10,2019.4000000000003
2015-06-11,2650.5
2015-06-12,2138.6000000000004
2015-06-13,2508.8999999999996
2015-06-14,1859
2015-06-15,2595.6000000000004
2015-06-16,1898.3
2015-06-17,2137.1000000000004
2015-06-18,1984.5
2015-06-19,2793.45
2015-06-20,2060.6
2015-06-21,1925.2
2015-06-22,2319.3
2015-06-23,2042.75
2015-06-24,2327.5000000000005
2015-06-25,2399.15
2015-06-26,2745.5
2015-06-27,2812.8999999999996
2015-06-28,1569.7
2015-06-29,1873.6
2015-06-30,2210.9500000000003
2015-07-01,2231.5
2015-07-02,2294.7999999999997
2015-07-03,3442.9999999999995
2015-07-04,3864.2
2015-07-05,1591.45
2015-07-06,2116.9
2015-07-07,2374.4
2015-07-08,2396.05
2015-07-09,2297.75
2015-07-10,2432.4000000000005
2015-07-11,2085.55
2015-07-12,2185.6499999999996
2015-07-13,2059.5000000000005
2015-07-14,1956.5
2015-07-15,2501.7999999999997
2015-07-16,2463.9
2015-07-17,3131.65
2015-07-18,2122.2
2015-07-19,2022.7
2015-07-20,2501
2015-07-21,2030.8500000000001
2015-07-22,2292.1000000000004
2015-07-23,2214.5
2015-07-24,3204.399999999999
2015-07-25,2237.25
2015-07-26,1871.55
2015-07-27,2172
2015-07-28,2094.55
2015-07-29,1923.2500000000002
2015-07-30,2349.15
2015-07-31,2095.4
2015-08-01,2440.55
2015-08-02,1910.15
2015-08-03,1982.2500000000002
2015-08-04,2090.1500000000005
2015-08-05,2094.8500000000004
2015-08-06,2099.25
2015-08-07,2626.4
2015-08-08,2716.4
2015-08-09,2002.65
2015-08-10,2139.45
2015-08-11,2290
2015-08-12,2365.75
2015-08-13,2074.15
2015-08-14,3016.6
2015-08-15,2252.3500000000004
2015-08-16,2139.3
2015-08-17,2626
2015-08-18,2101.2000000000003
2015-08-19,2332.9500000000003
2015-08-20,1907.7000000000003
2015-08-21,2601.4
2015-08-22,2406
2015-08-23,1701.6000000000004
2015-08-24,1697.0500000000002
2015-08-25,1958.9
2015-08-26,2329.3999999999996
2015-08-27,2117.65
2015-08-28,2647.2000000000003
2015-08-29,2035.0000000000002
2015-08-30,1494.6000000000001
2015-08-31,2081.3500000000004
2015-09-01,2352.8500000000004
2015-09-02,1865.5500000000002
2015-09-03,2252.5999999999995
2015-09-04,2960.9500000000003
2015-09-05,2537.7999999999997
2015-09-06,1491.6500000000003
2015-09-07,2283.35
2015-09-08,2249.5
2015-09-09,2580.1
2015-09-10,2415.8500000000004
2015-09-11,2761.9
2015-09-12,2588.15
2015-09-13,1838.1499999999999
2015-09-14,2165.2500000000005
2015-09-15,2550.2000000000003
2015-09-16,2185.2500000000005
2015-09-17,2242.05
2015-09-18,2721.5499999999997
2015-09-19,2286.5499999999997
2015-09-20,1829
2015-09-21,2131.45
2015-09-22,2170.4
2015-09-23,2163
2015-09-26,2246.8500000000004
2015-09-27,2314.7000000000003
2015-09-28,2035.3000000000002
2015-09-29,2762.05
2015-09-30,2198.05
2015-10-01,3202.149999999999
2015-10-02,2074.8500000000004
2015-10-03,2400.9500000000003
2015-10-04,2142.2
2015-10-06,2215.95
2015-10-07,2092.3500000000004
2015-10-08,1975.8500000000001
2015-10-09,2512.5999999999995
2015-10-10,2310.2
2015-10-11,1916.2500000000002
2015-10-13,2325.9500000000003
2015-10-14,2146.3500000000004
2015-10-15,4320.2
2015-10-16,2555.1
2015-10-17,2339.8
2015-10-18,1795.3000000000002
2015-10-20,2437.15
2015-10-21,2460.5
2015-10-22,2400.8999999999996
2015-10-23,2610.6500000000005
2015-10-24,2679.5
2015-10-25,1837.05
2015-10-27,1988.65
2015-10-28,1635.9500000000003
2015-10-29,2169.75
2015-10-30,2736.6000000000004
2015-10-31,2744.8500000000004
2015-11-01,1986.65
2015-11-02,2299.1000000000004
2015-11-03,1828.5500000000002
2015-11-04,1966.1000000000001
2015-11-05,2180.3500000000004
2015-11-06,3157.4999999999995
2015-11-07,2580.95
2015-11-08,2110.15
2015-11-09,2483.75
2015-11-10,2042.6000000000001
2015-11-11,1946.2000000000003
2015-11-12,2564.8
2015-11-13,2264.55
2015-11-14,2324.75
2015-11-15,1821.65
2015-11-16,2256.65
2015-11-17,1956.55
2015-11-18,2111.7000000000003
2015-11-19,2694.8999999999996
2015-11-20,2388.1000000000004
2015-11-21,2083.95
2015-11-22,1368.7
2015-11-23,2465.1500000000005
2015-11-24,2230.05
2015-11-25,2363.25
2015-11-26,4405.95
2015-11-27,4422.449999999999
2015-11-28,1968.0500000000002
2015-11-29,1899.0000000000005
2015-11-30,2223.25
2015-12-01,2076.7
2015-12-02,2214.1
2015-12-03,2243.2
2015-12-04,2878.35
2015-12-05,2627.9500000000003
2015-12-06,2350.25
2015-12-07,2414.7999999999997
2015-12-08,1856.25
2015-12-09,2571.5499999999997
2015-12-10,1985.6000000000001
2015-12-11,2634
2015-12-12,1960.15
2015-12-13,2245.1499999999996
2015-12-14,2172.6000000000004
2015-12-15,2387.4500000000003
2015-12-16,2234.8
2015-12-17,1880.7500000000002
2015-12-18,2886.3
2015-12-19,2304.2000000000003
2015-12-20,2104.9
2015-12-21,2100.7000000000003
2015-12-22,1882.9500000000003
2015-12-23,2244.3
2015-12-24,2137.8500000000004
2015-12-26,1643.0500000000002
2015-12-27,1419.0000000000002
2015-12-28,1637.2000000000003
2015-12-29,1353.2500000000002
2015-12-30,1337.8
2015-12-31,2915.9999999999995
